i,j,k,L,flag_leaf,rho,rho_grad_x,rho_grad_y,rho_grad_z
2,0,0,2,1,0.0227076,-0.0453276,28.2005,28.2005
2,1,0,2,1,11.7628,-23.4803,23.4803,14608.2
2,1,1,2,1,6093.3,-12163.1,12163.1,12163.1
2,0,1,2,1,11.7628,-23.4803,14608.2,23.4803
3,1,3,2,1,0.0227076,-28.2005,0.0453276,-28.2005
3,0,3,2,1,4.3836e-05,-0.0544398,0.0544398,-0.0544398
3,0,2,2,1,0.0227076,-28.2005,28.2005,-0.0453276
3,1,2,2,1,11.7628,-14608.2,23.4803,-23.4803
3,0,0,2,1,4.3836e-05,-0.0544398,0.0544398,0.0544398
2,2,2,2,1,6093.3,-12163.1,-12163.1,-12163.1
3,1,0,2,1,0.0227076,-28.2005,0.0453276,28.2005
2,3,2,2,1,11.7628,-23.4803,-14608.2,-23.4803
3,3,2,2,1,0.0227076,-28.2005,-28.2005,-0.0453276
3,2,2,2,1,11.7628,-14608.2,-23.4803,-23.4803
3,2,3,2,1,0.0227076,-28.2005,-0.0453276,-28.2005
3,1,1,2,1,11.7628,-14608.2,23.4803,23.4803
2,3,3,2,1,0.0227076,-0.0453276,-28.2005,-28.2005
3,0,1,2,1,0.0227076,-28.2005,28.2005,0.0453276
2,2,3,2,1,11.7628,-23.4803,-23.4803,-14608.2
2,2,1,2,1,6093.3,-12163.1,-12163.1,12163.1
2,3,1,2,1,11.7628,-23.4803,-14608.2,23.4803
3,3,1,2,1,0.0227076,-28.2005,-28.2005,0.0453276
3,2,1,2,1,11.7628,-14608.2,-23.4803,23.4803
3,2,0,2,1,0.0227076,-28.2005,-0.0453276,28.2005
3,3,0,2,1,4.3836e-05,-0.0544398,-0.0544398,0.0544398
2,3,0,2,1,0.0227076,-0.0453276,-28.2005,28.2005
2,2,0,2,1,11.7628,-23.4803,-23.4803,14608.2
0,2,0,2,1,0.0227076,28.2005,-0.0453276,28.2005
0,3,0,2,1,4.3836e-05,0.0544398,-0.0544398,0.0544398
2,1,2,2,1,6093.3,-12163.1,12163.1,-12163.1
1,3,0,2,1,0.0227076,0.0453276,-28.2005,28.2005
2,0,2,2,1,11.7628,-23.4803,14608.2,-23.4803
1,2,0,2,1,11.7628,23.4803,-23.4803,14608.2
2,0,3,2,1,0.0227076,-0.0453276,28.2005,-28.2005
1,2,1,2,1,6093.3,12163.1,-12163.1,12163.1
1,3,2,2,1,11.7628,23.4803,-14608.2,-23.4803
0,0,0,2,1,4.3836e-05,0.0544398,0.0544398,0.0544398
0,3,2,2,1,0.0227076,28.2005,-28.2005,-0.0453276
1,1,0,2,1,11.7628,23.4803,23.4803,14608.2
1,0,1,1,0,5.38542,-2.87222,2.87222,-2.87222
2,1,3,2,1,11.7628,-23.4803,23.4803,-14608.2
1,3,1,2,1,11.7628,23.4803,-14608.2,23.4803
0,1,0,2,1,0.0227076,28.2005,0.0453276,28.2005
0,0,0,1,0,5.38542,2.87222,2.87222,2.87222
0,1,1,2,1,11.7628,14608.2,23.4803,23.4803
0,0,1,1,0,5.38542,2.87222,2.87222,-2.87222
0,3,1,2,1,0.0227076,28.2005,-28.2005,0.0453276
1,3,3,2,1,0.0227076,0.0453276,-28.2005,-28.2005
3,3,3,2,1,4.3836e-05,-0.0544398,-0.0544398,-0.0544398
0,0,0,0,0,63493.6,0,0,0
1,1,3,2,1,11.7628,23.4803,23.4803,-14608.2
0,1,0,1,0,5.38542,2.87222,-2.87222,2.87222
0,0,1,2,1,0.0227076,28.2005,28.2005,0.0453276
1,1,1,2,1,6093.3,12163.1,12163.1,12163.1
0,3,3,2,1,4.3836e-05,0.0544398,-0.0544398,-0.0544398
0,0,3,2,1,4.3836e-05,0.0544398,0.0544398,-0.0544398
1,0,0,1,0,5.38542,-2.87222,2.87222,2.87222
0,1,3,2,1,0.0227076,28.2005,0.0453276,-28.2005
1,0,3,2,1,0.0227076,0.0453276,28.2005,-28.2005
1,1,1,1,0,5.38542,-2.87222,-2.87222,-2.87222
1,0,2,2,1,11.7628,23.4803,14608.2,-23.4803
1,1,2,2,1,6093.3,12163.1,12163.1,-12163.1
0,1,2,2,1,11.7628,14608.2,23.4803,-23.4803
0,1,1,1,0,5.38542,2.87222,-2.87222,-2.87222
0,0,2,2,1,0.0227076,28.2005,28.2005,-0.0453276
1,0,0,2,1,0.0227076,0.0453276,28.2005,28.2005
0,2,2,2,1,11.7628,14608.2,-23.4803,-23.4803
1,2,2,2,1,6093.3,12163.1,-12163.1,-12163.1
1,2,3,2,1,11.7628,23.4803,-23.4803,-14608.2
1,0,1,2,1,11.7628,23.4803,14608.2,23.4803
1,1,0,1,0,5.38542,-2.87222,-2.87222,2.87222
0,2,3,2,1,0.0227076,28.2005,-0.0453276,-28.2005
0,2,1,2,1,11.7628,14608.2,-23.4803,23.4803
