amr gpu matrix
lbase = 8, best kernel block size: 64
block_size = 64, time: 15.001 ms
block_size = 64, time: 14.987 ms
block_size = 64, time: 14.992 ms
block_size = 64, time: 15.004 ms
block_size = 64, time: 15.017 ms
block_size = 64, time: 15.075 ms
block_size = 64, time: 15.075 ms
block_size = 64, time: 15.08 ms
block_size = 64, time: 14.979 ms
block_size = 64, time: 14.928 ms
block_size = 64, time: 15.07 ms
block_size = 64, time: 15.045 ms
block_size = 64, time: 15.001 ms
block_size = 64, time: 15.001 ms
block_size = 64, time: 15.01 ms
block_size = 64, time: 15.002 ms
block_size = 64, time: 14.896 ms
block_size = 64, time: 14.889 ms
block_size = 64, time: 15.07 ms
block_size = 64, time: 15.09 ms
block_size = 64, time: 15.093 ms
block_size = 64, time: 15.102 ms
block_size = 64, time: 15.082 ms
block_size = 64, time: 15.096 ms
block_size = 64, time: 15.092 ms
block_size = 64, time: 15.098 ms
block_size = 64, time: 15.078 ms
block_size = 64, time: 15.096 ms
block_size = 64, time: 15.097 ms
block_size = 64, time: 15.09 ms
block_size = 64, time: 15.111 ms
block_size = 64, time: 15.061 ms
block_size = 64, time: 15.001 ms
block_size = 64, time: 15 ms
block_size = 64, time: 15.002 ms
block_size = 64, time: 15.02 ms
block_size = 64, time: 15.004 ms
block_size = 64, time: 15.017 ms
block_size = 64, time: 15.007 ms
block_size = 64, time: 14.998 ms
block_size = 64, time: 15.002 ms
block_size = 64, time: 15.005 ms
block_size = 64, time: 15.019 ms
block_size = 64, time: 15.002 ms
block_size = 64, time: 15.005 ms
block_size = 64, time: 15.081 ms
block_size = 64, time: 15.089 ms
block_size = 64, time: 15.103 ms
block_size = 64, time: 15.105 ms
block_size = 64, time: 15.101 ms


