amr gpu matrix
num threads: 268435456
num threads: 268435456
num threads: 268435584
num threads: 268435552
L = 7, best kernel block size: 512 time: 4 ms
num threads: 268435456
block_size = 512, time: 4.943 ms
block_size = 512, time: 4.931 ms
block_size = 512, time: 4.93 ms
block_size = 512, time: 4.93 ms
block_size = 512, time: 4.917 ms
block_size = 512, time: 4.929 ms
block_size = 512, time: 4.932 ms
block_size = 512, time: 4.951 ms
block_size = 512, time: 4.936 ms
block_size = 512, time: 4.925 ms
block_size = 512, time: 4.944 ms
block_size = 512, time: 4.942 ms
block_size = 512, time: 4.942 ms
block_size = 512, time: 4.927 ms
block_size = 512, time: 4.924 ms
block_size = 512, time: 4.943 ms
block_size = 512, time: 4.952 ms
block_size = 512, time: 4.94 ms
block_size = 512, time: 4.937 ms
block_size = 512, time: 4.928 ms
block_size = 512, time: 4.934 ms
block_size = 512, time: 4.924 ms
block_size = 512, time: 4.931 ms
block_size = 512, time: 4.94 ms
block_size = 512, time: 4.935 ms
block_size = 512, time: 4.921 ms
block_size = 512, time: 4.949 ms
block_size = 512, time: 4.92 ms
block_size = 512, time: 4.947 ms
block_size = 512, time: 4.93 ms
block_size = 512, time: 4.94 ms
block_size = 512, time: 2.852 ms
block_size = 512, time: 2.66 ms
block_size = 512, time: 2.658 ms
block_size = 512, time: 2.663 ms
block_size = 512, time: 2.638 ms
block_size = 512, time: 2.658 ms
block_size = 512, time: 2.652 ms
block_size = 512, time: 2.652 ms
block_size = 512, time: 2.653 ms
block_size = 512, time: 2.653 ms
block_size = 512, time: 2.646 ms
block_size = 512, time: 2.652 ms
block_size = 512, time: 2.656 ms
block_size = 512, time: 2.655 ms
block_size = 512, time: 2.659 ms
block_size = 512, time: 2.653 ms
block_size = 512, time: 2.656 ms
block_size = 512, time: 2.659 ms
block_size = 512, time: 2.654 ms


