amr gpu matrix
L = 7, block size 512
num threads: 4194304
block_size = 512, time: 5.587 ms
block_size = 512, time: 2.688 ms
block_size = 512, time: 2.725 ms
block_size = 512, time: 2.689 ms
block_size = 512, time: 2.703 ms
block_size = 512, time: 2.705 ms
block_size = 512, time: 2.686 ms
block_size = 512, time: 2.714 ms
block_size = 512, time: 2.705 ms
block_size = 512, time: 2.698 ms
block_size = 512, time: 2.707 ms
block_size = 512, time: 2.703 ms
block_size = 512, time: 2.702 ms
block_size = 512, time: 2.713 ms
block_size = 512, time: 2.703 ms
block_size = 512, time: 2.708 ms
block_size = 512, time: 2.687 ms
block_size = 512, time: 2.707 ms
block_size = 512, time: 2.699 ms
block_size = 512, time: 2.694 ms
block_size = 512, time: 2.711 ms
block_size = 512, time: 2.697 ms
block_size = 512, time: 2.693 ms
block_size = 512, time: 2.718 ms
block_size = 512, time: 2.705 ms
block_size = 512, time: 2.697 ms
block_size = 512, time: 2.701 ms
block_size = 512, time: 2.694 ms
block_size = 512, time: 2.701 ms
block_size = 512, time: 2.695 ms
block_size = 512, time: 2.688 ms
block_size = 512, time: 2.698 ms
block_size = 512, time: 2.701 ms
block_size = 512, time: 2.707 ms
block_size = 512, time: 2.703 ms
block_size = 512, time: 2.703 ms
block_size = 512, time: 2.685 ms
block_size = 512, time: 2.695 ms
block_size = 512, time: 2.698 ms
block_size = 512, time: 2.721 ms
block_size = 512, time: 2.693 ms
block_size = 512, time: 2.69 ms
block_size = 512, time: 2.704 ms
block_size = 512, time: 2.706 ms
block_size = 512, time: 2.719 ms
block_size = 512, time: 2.71 ms
block_size = 512, time: 2.713 ms
block_size = 512, time: 2.718 ms
block_size = 512, time: 2.69 ms
block_size = 512, time: 2.685 ms

Total time: 47879.7 ms
