amr gpu matrix
Time after device_vector creation: 106.643 ms
Time after makeBaseGrid: 46349.5 ms
L = 7, block size 512
num threads: 4194304
block_size = 512, time: 5.657 ms
block_size = 512, time: 2.708 ms
block_size = 512, time: 2.702 ms
block_size = 512, time: 2.719 ms
block_size = 512, time: 2.708 ms
block_size = 512, time: 2.693 ms
block_size = 512, time: 2.692 ms
block_size = 512, time: 2.702 ms
block_size = 512, time: 2.686 ms
block_size = 512, time: 2.693 ms
block_size = 512, time: 2.696 ms
block_size = 512, time: 2.729 ms
block_size = 512, time: 2.675 ms
block_size = 512, time: 2.718 ms
block_size = 512, time: 2.699 ms
block_size = 512, time: 2.691 ms
block_size = 512, time: 2.693 ms
block_size = 512, time: 2.703 ms
block_size = 512, time: 2.704 ms
block_size = 512, time: 2.699 ms
block_size = 512, time: 2.706 ms
block_size = 512, time: 2.71 ms
block_size = 512, time: 2.693 ms
block_size = 512, time: 2.694 ms
block_size = 512, time: 2.691 ms
block_size = 512, time: 2.685 ms
block_size = 512, time: 2.692 ms
block_size = 512, time: 2.71 ms
block_size = 512, time: 2.702 ms
block_size = 512, time: 2.714 ms
block_size = 512, time: 2.699 ms
block_size = 512, time: 2.701 ms
block_size = 512, time: 2.708 ms
block_size = 512, time: 2.691 ms
block_size = 512, time: 2.717 ms
block_size = 512, time: 2.69 ms
block_size = 512, time: 2.702 ms
block_size = 512, time: 2.684 ms
block_size = 512, time: 2.71 ms
block_size = 512, time: 2.686 ms
block_size = 512, time: 2.696 ms
block_size = 512, time: 2.686 ms
block_size = 512, time: 2.704 ms
block_size = 512, time: 2.699 ms
block_size = 512, time: 2.688 ms
block_size = 512, time: 2.701 ms
block_size = 512, time: 2.692 ms
block_size = 512, time: 2.695 ms
block_size = 512, time: 2.704 ms
block_size = 512, time: 2.686 ms

Total time: 46594.2 ms
